ID,Seguidores,Siguiendo,Favoritos Cuenta
hoyencordoba,8257,1822,122
caba_del,516,648,25604
olidexabia,13,23,5
Nooneinspecial6,55,118,14744
segundogom,104,67,6519
amorenolicia,821,1220,1332
ManzaEsReal,517,693,471
manfer1978,3,9,1
innova_scape,5692,52,539
amaliagaroca,466,420,2659
QueridasFashion,3505,2669,10084
TauroJaen,18,81,74
RojVicky,305,379,1384
AOVESpiritu_Sto,1505,550,1350
aceitetorrijos,384,289,197
casadelaceite,654,264,283
gastrotea,565,703,1119
ArteOliva,1837,1624,1984
elisacreams,2339,3042,13256
olorysaborselec,520,134,8079
Honorio_Cordoba,2327,2332,6682
JoseMtnezArias,2766,4998,75
juliovicenteglz,479,688,2092
CarmenAcedo,176,261,1984
jesusrodrigo65,1426,50,16873
AceitesOlivaESP,33365,545,4785
magda_sevilla,11284,7432,1523
macorepe,519,354,10503
rodrigodlcj,5,19,140
JesusInma09,100,235,1069
DOMarbella,804,642,80
ambientesomos,331,816,74
rabsour,38,286,1098
Celicidadsinglu,1800,1309,4988
aceiterajaenera,592,792,138
generaltachin,3878,4078,179
CaminarSin,5102,1586,24508
immofux,33937,29049,188231
famalap,3031,907,27239
piti10vk,454,739,20708
deliverydis,1697,636,90
Gabriela_Alonso,1170,287,4133
9Oliveres,40,124,23
almasubbetica,2774,749,4093
celesgalan64,1917,881,116939
MarysaEsteban,456,276,6071
RJBOTANICO,12313,930,17561
Cmartin11R,1801,2023,41053
guillermoesnal,5491,3399,3109
SaborDeOro,1525,1225,2808
taninosarg,708,252,2279
FlorSommelier,1582,1034,3864
eaceite,716,768,760
losdellisola,1657,740,57
marcedellisola,7981,357,27
Olivapalacios,824,980,1010
roseheather1,2609,2446,4632
InCloud_PromExt,576,186,55
vnistalm,303,549,153
lacomercialnar,563,519,421
Aceite1881,517,622,312
SBsoftware_es,455,2161,688
CarsTarazaga,393,442,992
JoyasWarlock,289,794,2168
edit_agricola,9956,1452,2403
AceitesG_Cruz,585,368,310
Picuelite,213,194,441
patriue,268,351,129
RaffaelloManfr1,947,897,1243
tendalbaeza,253,120,101
josemsabalete,579,517,1028
CortijolaTorre,1536,514,683
soleromanh,189,336,146
lramirezmolero,472,164,4920
carlos232232,9022,7271,40268
GranConsumoTv,5920,1899,1806
amorenvena,48,172,69
Turismodeubeda,6846,6288,8112
Javi_Aceituno,1215,636,12458
SuarezRaquel5,192,468,675
SentirOliva,106,143,245
carmeroso,554,1674,30145
Gacetinmadrid,5438,5494,8139
GastroUbeda,428,254,177
loladealmeria,4692,1912,39440
BronzeMora,1348,1706,5470
Claudia_Grape,4845,5330,37
Jrrrey,443,736,11021
manoloprosur,1221,2030,10834
cc_burgocentro,2761,1174,209
OleotecaSevilla,75,61,36
Tapeandojaen,1476,455,959
NinaZucchi,2086,1924,205
AceitesLaMaja,1264,350,579
17ISA17,40,40,1945
Heroina_Virgen,5763,1973,12978
AlfredoVAyala,487,145,3134
PSOEJAEN,7899,4871,563
ana00878991,4,54,69
chaosbusiness,964,1615,3594
chinobailen,215,333,7264
txelu_teluino,217,302,3323
porsfirio,620,984,2206
CopeNautas,2619,4914,40
evernescom,3987,2876,1161
ASAJAJoven,1884,210,1215
mas_sergio,70,289,55
MareaCucharon,215,350,3020
CopeJaen,4483,641,287
